SetName,PlayerName,DateGraded,CenteringGrade,CornerGrade,EdgesGrade,SurfacesGrade,AutographGrade,FinalGrade,TotalGradedCardsInPOPReport,CardsGradedAboveThisCard
2022 Dragon Ball Super 5th Anniversary,Hyper Evolution Super Saiyan 4 Son Goku SCR PE,"Monday, January 23, 2023",10.0,10.0,10.0,9.5,0.0,10.0,21,0
2021 Pokemon Sword and Shield Evolving Skies,Espeon V UR,"Friday, February 03, 2023",8.0,9.5,9.0,9.5,0.0,8.5,121,102
2022 Dragon Ball Super Dawn of the Z-Legends,"Bardock, Origin of the Legend SCR","Monday, January 23, 2023",10.0,10.0,10.0,10.0,0.0,10.0,192,0
2001 Fleer Legacy,Albert Pujols/499 RC,"Wednesday, February 08, 2023",Not Available,Not Available,Not Available,Not Available,Not Available,0.0,127,127
2022 Dragon Ball Super Ultimate Squad,"Piccolo & Son Gohan, Newfound Might SCR","Monday, January 23, 2023",9.5,10.0,10.0,10.0,0.0,10.0,133,0
2022 Dragon Ball Super 5th Anniversary,"Baby Hatchhyack, Saiyan Destroyer SCR PE","Monday, January 23, 2023",9.5,10.0,10.0,10.0,0.0,10.0,8,0
2020-22 Pokemon Sword and Shield Chinese Promos," Lucario V (Advance to finals or win the lottery in Lucario HR Fight-Taiwan & Hong Kong)","Friday, February 03, 2023",9.5,9.5,9.0,9.0,0.0,9.0,0,0
2020-22 Pokemon Sword and Shield Chinese Promos," Lucario V (Advance to finals or win the lottery in Lucario HR Fight-Taiwan & Hong Kong)","Friday, February 03, 2023",9.5,9.5,10.0,9.5,0.0,9.5,0,0
2022 Pokemon Sword and Shield Brilliant Stars,Charizard V UR,"Friday, February 03, 2023",9.5,9.5,9.5,9.5,0.0,9.5,595,56
2022 Pokemon Sword and Shield Brilliant Stars,Charizard V UR,"Friday, February 03, 2023",9.0,8.5,9.5,9.5,0.0,9.0,595,400
2022 Pokemon Sword and Shield Lost Origin Trainer Gallery,Pikachu VMAX UR,"Friday, February 03, 2023",9.5,9.0,10.0,10.0,0.0,9.5,102,21
2020-22 Pokemon Sword and Shield Chinese Promos,Lucario VSTAR/(Taiwan & Hong Kong Lucario HR Fight Winner Prize),"Friday, February 03, 2023",10.0,10.0,10.0,10.0,0.0,10.0,0,0
2020-22 Pokemon Sword and Shield Chinese Promos,Lucario VSTAR/(Taiwan & Hong Kong Lucario HR Fight Winner Prize),"Friday, February 03, 2023",10.0,9.5,9.5,9.0,0.0,9.5,0,0
2022 Pokemon Sword and Shield Silver Tempest,Regidrago V UR ALT FULL ART,"Friday, February 03, 2023",9.5,10.0,10.0,10.0,0.0,10.0,73,0
2022 Pokemon Sword and Shield Silver Tempest,Lugia VSTAR SCR,"Friday, February 03, 2023",7.5,10.0,10.0,9.0,0.0,8.0,23,19
2021 Panini National Treasures Signatures Holo Silver,Adam Vinatieri/25,"Monday, February 06, 2023",9.5,9.0,9.0,8.5,10.0,9.0,2,1
2022 Pokemon Sword and Shield Brilliant Stars,Charizard VSTAR RBW R,"Friday, February 03, 2023",9.0,8.5,10.0,10.0,0.0,9.0,637,447
